timestamp;value
0-0-10-408000;-75 
0-0-10-410000;-38 
0-0-10-412000;-43 
0-0-10-414000;3 
0-0-10-416000;28 
0-0-10-418000;63 
0-0-10-420000;79 
0-0-10-422000;52 
0-0-10-424000;-19 
0-0-10-426000;-19 
0-0-10-428000;-52 
0-0-10-430000;-2 
0-0-10-432000;-2 
0-0-10-434000;35 
0-0-10-436000;85 
0-0-10-438000;89 
0-0-10-440000;105 
0-0-10-442000;28 
0-0-10-444000;-37 
0-0-10-446000;-34 
0-0-10-448000;-39 
0-0-10-450000;-36 
0-0-10-452000;23 
0-0-10-455000;42 
0-0-10-457000;91 
0-0-10-458000;102 
0-0-10-460000;93 
0-0-10-462000;36 
0-0-10-464000;-18 
0-0-10-466000;-20 
0-0-10-468000;-28 
0-0-10-470000;-37 
0-0-10-472000;9 
0-0-10-474000;41 
0-0-10-476000;83 
0-0-10-478000;103 
0-0-10-480000;80 
0-0-10-493000;44 
0-0-10-495000;63 
0-0-10-497000;101 
0-0-10-499000;133 
0-0-10-500000;124 
0-0-10-502000;76 
0-0-10-504000;7 
0-0-10-506000;11 
0-0-10-508000;-44 
0-0-10-510000;-2 
0-0-10-512000;19 
0-0-10-514000;79 
0-0-10-516000;68 
0-0-10-518000;112 
0-0-10-520000;71 
0-0-10-523000;40 
0-0-10-525000;2 
0-0-10-527000;-14 
0-0-10-529000;-25 
0-0-10-531000;11 
0-0-10-533000;38 
0-0-10-535000;58 
0-0-10-537000;89 
0-0-10-539000;95 
0-0-10-541000;80 
0-0-10-542000;33 
0-0-10-544000;-5 
0-0-10-546000;-38 
